idx;name;resX;resY;frameRate;frameRateTimeUnit;intrinsicCameraMatrixStr;distortionCoefficientsStr
1;GoPro HERO Basic Edition 2014;1920;1080;29.97;s;[[845.1882218211623, 0.0, 952.2734494325198], [0.0, 845.363305907111, 540.5605963389045], [0.0, 0.0, 1.0]];[-0.26070402, 0.11094791, 0.0004601, 0.0007181, -0.02808663]
2;GoPro 3+ Black;1920;1080;29.97;s;[[894.18, 0.0, 960.0], [0.0, 913.2, 540.0], [0.0, 0.0, 1.0]];[-0.16, 0.018, 0.00030756, -0.00020578, -0.00091816]
3;GoPro 4 Black Ultra Wide - Full Calibration;1280;720;29.97;s;[[584.948542537874, 0.0, 635.1193729273833], [0.0, 584.424906302282, 367.63326589781803], [0.0, 0.0, 1.0]];[-0.26117408, 0.09197799, -0.00055912, 0.00033594, -0.01686286]
4;SJCAM4000 Wifi FOV inactive;1920;1080;29.97;s;[[1005.9761464295308, 0.0, 903.0862542932763], [0.0, 1018.4695797027206, 534.8246883119401], [0.0, 0.0, 1.0]];[-0.24510792, 0.0, 0.0, 0.0, 0.0]
5;SJCAM6 FOV wide;2560;1440;29.97;s;[[1292.6536172948745, 0.0, 1184.540273913935], [0.0, 1296.374107560441, 642.210698785471], [0.0, 0.0, 1.0]];[-0.14, 0.0, 0.0, 0.0, 0.0]
6;GoPro 4 Black Ultra Wide;1280;720;29.97;s;[[584.948542537874, 0.0, 635.1193729273833], [0.0, 584.424906302282, 367.63326589781803], [0.0, 0.0, 1.0]];[-0.12, 0.0, 0.0, 0.0, 0.0]
7;GoPro 2 Ultra Wide;1920;1080;29.97;s;[[894.18, 0.0, 951.75], [0.0, 913.2, 573.04], [0.0, 0.0, 1.0]];[-0.12, 0.0, 0.0, 0.0, 0.0]
8;SJCAM6 FOV wide 1280;1280;720;29.97;s;[[645.799683837004, 0.0, 592.3211082144605], [0.0, 647.5990601220539, 320.9641266475007], [0.0, 0.0, 1.0]];[-0.14, 0.0, 0.0, 0.0, 0.0]
9;GoPro Tweaked;1280;960;29.97;s;[[584.948542537874, 0.0, 635.1193729273833], [0.0, 584.424906302282, 490.1776878637574], [0.0, 0.0, 1.0]];[-0.12, 0.0, 0.0, 0.0, 0.0]
10;FLIR FC690;640;480;29.97;s;[[357.14285714, 0.0, 320.0], [0.0, 357.14285714, 240.0], [0.0, 0.0, 1.0]];[-0.30660991, 0.10686955, 0.0, 0.0, -0.01687737]
11;GoPro 7 1440p;1920;1440;29.97;s;[[926.1705646020426, 0.0, 941.5036371934535], [0.0, 918.6622855309182, 750.3426848823104], [0.0, 0.0, 1.0]];[-0.1329200267218234, 0.0, 0.0, 0.0, 0.0]
12;GoPro 8 1920 wide;1920;1080;29.97;s;[[870.7140964866554, 0.0, 958.2989217122167], [0.0, 886.8675754717661, 555.1579183815031], [0.0, 0.0, 1.0]];[-0.20994334317359575, 0.0, 0.0, 0.0, 0.0]
